L,H,Do,WP,FW,led,TF,TW,Elastic Load
4000,560,373,108.17,162,370.5,20,9,227.0
4000,560,373,108.17,162,370.5,25,9,272.7
4000,560,373,108.17,162,370.5,15,12,254.4
4000,560,373,108.17,162,370.5,20,12,321.9
4000,560,373,108.17,162,370.5,25,12,391.3
4000,560,373,108.17,162,370.5,15,15,321.4
4000,560,373,108.17,162,370.5,20,15,408.0
4000,560,373,108.17,162,370.5,25,15,495.8
4000,560,373,182.77,162,145.5,15,9,190.8
4000,560,373,182.77,162,145.5,20,9,240.2
4000,560,373,182.77,162,145.5,25,9,285.4
4000,560,373,182.77,162,145.5,15,12,266.9
4000,560,373,182.77,162,145.5,20,12,338.0
4000,560,373,182.77,162,145.5,25,12,409.3
4000,560,373,182.77,162,145.5,15,15,331.3
4000,560,373,182.77,162,145.5,20,15,423.0
4000,560,373,182.77,162,145.5,25,15,515.0
4000,560,329,32.9,162,25.5,15,9,148.5
4000,560,329,32.9,162,25.5,20,9,194.6
4000,560,329,32.9,162,25.5,25,9,223.9
4000,560,329,32.9,162,25.5,15,12,223.7
4000,560,329,32.9,162,25.5,20,12,286.4
4000,560,329,32.9,162,25.5,25,12,355.6
4000,560,329,32.9,162,25.5,15,15,291.7
4000,560,329,32.9,162,25.5,20,15,370.7
4000,560,329,32.9,162,25.5,25,15,455.0
4000,560,329,95.41,162,139.5,15,9,181.2
4000,560,329,95.41,162,139.5,20,9,230.6
4000,560,329,95.41,162,139.5,25,9,276.1
4000,560,329,95.41,162,139.5,15,12,258.6
4000,560,329,95.41,162,139.5,20,12,327.7
4000,560,329,95.41,162,139.5,25,12,399.0
4000,560,329,95.41,162,139.5,15,15,324.6
4000,560,329,95.41,162,139.5,20,15,413.7
4000,560,329,95.41,162,139.5,25,15,504.1
4000,560,329,161.21,162,365.5,15,9,196.8
4000,560,329,161.21,162,365.5,20,9,249.5
4000,560,329,161.21,162,365.5,25,9,302.0
4000,560,329,161.21,162,365.5,15,12,274.5
4000,560,329,161.21,162,365.5,20,12,347.6
4000,560,329,161.21,162,365.5,25,12,421.8
4000,560,329,161.21,162,365.5,15,15,341.4
4000,560,329,161.21,162,365.5,20,15,435.1
4000,560,329,161.21,162,365.5,25,15,529.5
4000,420,336,33.6,162,352,15,9,158.9
4000,420,336,33.6,162,352,20,9,201.6
4000,420,336,33.6,162,352,25,9,230.2
4000,420,336,33.6,162,352,15,12,220.9
4000,420,336,33.6,162,352,20,12,286.7
4000,420,336,33.6,162,352,25,12,353.4
4000,420,336,33.6,162,352,15,15,272.6
4000,420,336,33.6,162,352,20,15,355.4
4000,420,336,33.6,162,352,25,15,441.6
4000,420,336,97.44,162,100,15,9,187.1
4000,420,336,97.44,162,100,20,9,236.2
4000,420,336,97.44,162,100,25,9,274.7
4000,420,336,97.44,162,100,15,12,247.3
4000,420,336,97.44,162,100,20,12,322.3
4000,420,336,97.44,162,100,25,12,396.4
4000,420,336,97.44,162,100,15,15,293.7
4000,420,336,97.44,162,100,20,15,388.4
4000,420,336,97.44,162,100,25,15,485.4
4000,420,336,164.64,162,329,15,9,203.0
4000,420,336,164.64,162,329,20,9,259.5
4000,420,336,164.64,162,329,25,9,312.7
4000,420,336,164.64,162,329,15,12,262.8
4000,420,336,164.64,162,329,20,12,343.4
4000,420,336,164.64,162,329,25,12,423.7
4000,420,336,164.64,162,329,15,15,310.8
4000,420,336,164.64,162,329,20,15,410.7
4000,420,336,164.64,162,329,25,15,513.7
4000,420,280,28,162,12,15,9,167.6
4000,420,280,28,162,12,20,9,210.2
4000,420,280,28,162,12,25,9,229.7
4000,420,280,28,162,12,15,12,230.5
4000,420,280,28,162,12,20,12,301.3
4000,420,280,28,162,12,25,12,373.6
4000,420,280,28,162,12,15,15,279.1
4000,420,280,28,162,12,20,15,368.6
4000,420,280,28,162,12,25,15,461.9
4000,420,280,81.2,162,55,15,9,195.6
4000,420,280,81.2,162,55,20,9,249.9
4000,420,280,81.2,162,55,25,9,297.1
4000,420,280,81.2,162,55,15,12,255.9
4000,420,280,81.2,162,55,20,12,335.2
4000,420,280,81.2,162,55,25,12,414.9
4000,420,280,81.2,162,55,15,15,302.8
4000,420,280,81.2,162,55,20,15,401.6
4000,420,280,81.2,162,55,25,15,503.9
4000,420,280,137.2,162,192,15,9,208.5
4000,420,280,137.2,162,192,20,9,267.8
4000,420,280,137.2,162,192,25,9,324.3
4000,420,280,137.2,162,192,15,12,268.3
4000,420,280,137.2,162,192,20,12,352.1
4000,420,280,137.2,162,192,25,12,436.2
4000,420,280,137.2,162,192,15,15,316.0
4000,420,280,137.2,162,192,20,15,418.9
4000,420,280,137.2,162,192,25,15,525.9
4000,420,247,24.7,162,244.5,15,9,177.1
4000,420,247,24.7,162,244.5,20,9,233.7
4000,420,247,24.7,162,244.5,25,9,288.7
4000,420,247,24.7,162,244.5,15,12,240.3
4000,420,247,24.7,162,244.5,20,12,314.6
4000,420,247,24.7,162,244.5,25,12,393.9
4000,420,247,24.7,162,244.5,15,15,292.3
4000,420,247,24.7,162,244.5,20,15,383.9
4000,420,247,24.7,162,244.5,25,15,480.9
4000,420,247,71.63,162,281.5,15,9,203.1
4000,420,247,71.63,162,281.5,20,9,262.2
4000,420,247,71.63,162,281.5,25,9,319.7
4000,420,247,71.63,162,281.5,15,12,264.5
4000,420,247,71.63,162,281.5,20,12,346.7
4000,420,247,71.63,162,281.5,25,12,430.6
4000,420,247,71.63,162,281.5,15,15,314.0
4000,420,247,71.63,162,281.5,20,15,415.0
4000,420,247,71.63,162,281.5,25,15,520.5
4000,420,247,121.03,162,36.5,15,9,212.5
4000,420,247,121.03,162,36.5,20,9,274.1
4000,420,247,121.03,162,36.5,25,9,333.0
4000,420,247,121.03,162,36.5,15,12,271.4
4000,420,247,121.03,162,36.5,20,12,358.0
4000,420,247,121.03,162,36.5,25,12,445.4
4000,420,247,121.03,162,36.5,15,15,318.4
4000,420,247,121.03,162,36.5,20,15,423.7
4000,420,247,121.03,162,36.5,25,15,534.1
4000,700,560,56,216,488,15,9,140.5
